playerID,H,2B,3B,HR,RBI,R,BB,SO,GIDP,IBB,HBP,SB,CS,AB,PA,AVG,OBP,SLG,OPS,ISO,wOBA,wRAA,K%,BB%,K:BB,BABIP,BACON,TAV
vazquch01,50,10,1,4,24,22,19,43,5,1,1,2,1,196,220,0.255,0.324,0.378,0.702,0.122,0.312,-0.2,19.55%,8.64%,2.26,0.309,0.327,0.259
velazgi01,46,9,1,5,21,22,16,39,4,1,2,3,1,180,200,0.256,0.323,0.400,0.723,0.144,0.320,1.1,19.50%,8.00%,2.44,0.301,0.326,0.265
venabwi01,99,16,3,11,40,49,34,101,7,3,3,14,4,400,440,0.248,0.311,0.385,0.696,0.138,0.309,-1.6,22.95%,7.73%,2.97,0.306,0.331,0.257
vicieda01,59,12,1,8,29,29,16,56,7,1,2,1,1,236,256,0.250,0.303,0.411,0.714,0.161,0.313,-0.1,21.88%,6.25%,3.50,0.297,0.328,0.260
victosh01,75,13,2,6,29,38,20,51,5,1,6,9,1,282,315,0.266,0.328,0.390,0.718,0.124,0.318,1.2,16.19%,6.35%,2.55,0.307,0.325,0.263
villajo01,65,14,2,6,26,35,24,76,6,1,1,14,5,263,293,0.247,0.313,0.384,0.697,0.137,0.307,-1.3,25.94%,8.19%,3.17,0.326,0.348,0.256
vogtst01,114,20,3,15,62,54,43,89,8,4,2,2,2,434,484,0.263,0.332,0.426,0.758,0.164,0.334,8.3,18.39%,8.88%,2.07,0.300,0.330,0.275
vottojo01,137,27,2,20,61,76,102,112,11,11,4,7,3,466,575,0.294,0.425,0.489,0.914,0.195,0.408,43.7,19.48%,17.74%,1.10,0.350,0.387,0.328
waldrky02,47,10,1,6,23,24,16,42,4,1,2,3,1,180,200,0.261,0.328,0.428,0.756,0.167,0.332,3.0,21.00%,8.00%,2.63,0.311,0.341,0.274
walkech02,47,10,1,6,22,23,18,48,4,1,2,3,1,187,208,0.251,0.324,0.412,0.735,0.160,0.324,1.9,23.08%,8.65%,2.67,0.308,0.338,0.268
walkene01,132,27,3,17,66,67,45,98,11,4,9,3,2,499,559,0.265,0.336,0.433,0.769,0.168,0.339,11.6,17.53%,8.05%,2.18,0.299,0.329,0.279
wallabr01,59,13,1,10,32,31,20,70,5,1,3,2,1,230,254,0.257,0.324,0.452,0.776,0.196,0.338,5.2,27.56%,7.87%,3.50,0.327,0.369,0.278
walteza01,48,8,1,8,26,25,17,62,3,1,2,2,1,210,229,0.229,0.293,0.390,0.683,0.162,0.301,-2.2,27.07%,7.42%,3.65,0.286,0.324,0.251
